full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Jude Adjei-Barimah,Jude,Adjei-Barimah,28.0,,CB,DB,,,Inactive,38.0,"5'11""",200.0,Bowling Green,5.0,,2024-09-17
Roschon Johnson,Roschon,Johnson,23.0,CHI,RB,RB,RB,4.0,Active,23.0,72,225.0,Texas,1.0,,2024-09-17
Ethan Cooper,Ethan,Cooper,26.0,,C,OL,,,Active,62.0,75,325.0,"Indiana, Pa.",5.0,,2024-09-17
Chris Roland-Wallace,Chris,Roland-Wallace,22.0,KC,CB,DB,NB,2.0,Active,30.0,71,202.0,USC,0.0,,2024-09-17
O'Brien Schofield,O'Brien,Schofield,33.0,,LB,LB,,,Inactive,54.0,"6'3""",260.0,Wisconsin,10.0,,2024-09-17
Jaylen Watkins,Jaylen,Watkins,30.0,,SS,DB,,,Inactive,20.0,71,194.0,Florida,8.0,,2024-09-17
K'Von Wallace,K'Von,Wallace,27.0,SEA,DB,DB,SS,2.0,Active,24.0,71,205.0,Clemson,4.0,,2024-09-17
Luke McCown,Luke,McCown,40.0,,QB,QB,,,Injured Reserve,0.0,76,217.0,Louisiana Tech,18.0,,2024-09-17
De'Veon Smith,De'Veon,Smith,27.0,,RB,RB,,,Inactive,22.0,71,221.0,Michigan,5.0,,2024-09-17
Eric Kush,Eric,Kush,32.0,,OL,OL,,,Inactive,62.0,76,317.0,"California, Pa.",9.0,,2024-09-17
Jan Johnson,Jan,Johnson,25.0,,LB,LB,,,Active,0.0,74,231.0,Penn State,2.0,,2024-09-17
Pasoni Tasini,Pasoni,Tasini,28.0,,DE,DL,,,Inactive,96.0,75,307.0,Utah,5.0,,2024-09-17
Mayan Ahanotu,Mayan,Ahanotu,,,DL,DL,,,Active,,76,300.0,Rutgers,0.0,,2024-09-17
Caelen Carson,Caelen,Carson,22.0,DAL,DB,DB,RCB,1.0,Active,21.0,72,195.0,Wake Forest,0.0,,2024-09-17
Ka'imi Fairbairn,Ka'imi,Fairbairn,30.0,HOU,K,K,K,1.0,Active,15.0,72,183.0,UCLA,8.0,,2024-09-17
Bill Lazor,Bill,Lazor,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Devin Street,Devin,Street,29.0,,WR,WR,,,Injured Reserve,18.0,"6'3""",200.0,Pittsburgh,6.0,,2024-09-17
Ron Thompson,Ron,Thompson,28.0,,DE,DL,,,Inactive,56.0,76,258.0,Syracuse,6.0,,2024-09-17
Laquon Treadwell,Laquon,Treadwell,29.0,IND,WR,WR,,,Active,7.0,74,215.0,Ole Miss,8.0,,2024-09-17
Jahleel Addae,Jahleel,Addae,32.0,,DB,DB,,,Active,41.0,70,195.0,Central Michigan,9.0,,2024-09-17
